product_name,norm_name,source,deal_count,created_at
"Biosene Arraw Label Afrik 450g","biosene arraw label afrik 450g","inactive",1,"2026-04-17 10:01:12"
"Biosene Soungouf Label Afrik 500g","biosene soungouf label afrik 500g","inactive",1,"2026-04-17 10:01:12"
"Biosene Thiakry Label Afrik 450g","biosene thiakry label afrik 450g","inactive",1,"2026-04-17 10:01:12"
"BIOTIQUE GREEN APPLE SHINE & GLOSS SHAMPOO & CONDITIONER -120 Ml","biotique green apple shine & gloss shampoo & conditioner -120 ml","inactive",1,"2026-04-17 10:01:12"
"Bird's Birds Custard Low Fat Ready to Serve - 500g","bird's birds custard low fat ready to serve - 500g","inactive",1,"2026-04-17 10:01:12"
"Bird's Custard Powder 300gm","bird's custard powder 300gm","inactive",1,"2026-04-17 10:01:12"
"Birds Custard Ready to Serve - 500g","birds custard ready to serve - 500g","inactive",1,"2026-04-17 10:01:12"
"Biryani Masala - Shan 50G","biryani masala - shan 50g","inactive",1,"2026-04-17 10:01:12"
"Biskolak: 150g Shea Butter","biskolak: 150g shea butter","inactive",1,"2026-04-17 10:01:12"
"Bissap Karkade Hibiscus Flower 100g","bissap karkade hibiscus flower 100g","inactive",1,"2026-04-17 10:01:12"
"Bisto Gravy Granules - Beef - 190g","bisto gravy granules - beef - 190g","inactive",1,"2026-04-17 10:01:12"
"BItburger - Premium Pils (4.8% Alc) 500ml","bitburger - premium pils (4.8% alc) 500ml","inactive",1,"2026-04-17 10:01:12"
"Bizim Penne Rigate - 500g","bizim penne rigate - 500g","inactive",1,"2026-04-17 10:01:12"
"Black & White Bracelet","black & white bracelet","inactive",1,"2026-04-17 10:01:12"
"Black & White Thread Necklace","black & white thread necklace","inactive",1,"2026-04-17 10:01:12"
"Black Beans 400g","black beans 400g","inactive",1,"2026-04-17 10:01:12"
"BLACK BOBBY HAIRPIN","black bobby hairpin","inactive",1,"2026-04-17 10:01:12"
"Black Obsidian Tumbled Stone -2 Stones","black obsidian tumbled stone -2 stones","inactive",1,"2026-04-17 10:01:12"
"Black Pearl Brown 80","black pearl brown 80","inactive",1,"2026-04-17 10:01:12"
"Black Pearl Necklace","black pearl necklace","inactive",1,"2026-04-17 10:01:12"
"Black Pepper Powder 100g","black pepper powder 100g","inactive",1,"2026-04-17 10:01:12"
"Black Rangoli Colour Powder (200g)","black rangoli colour powder (200g)","inactive",1,"2026-04-17 10:01:12"
"Black Rose Hair Colour Black","black rose hair colour black","inactive",1,"2026-04-17 10:01:12"
"BLACK ROSE KALI MEHANDI | HERBAL BLACK HENNA HAIR COLOR | 5 SACHETS OF 10GM EACH – 50G","black rose kali mehandi | herbal black henna hair color | 5 sachets of 10gm each – 50g","inactive",1,"2026-04-17 10:01:12"
"Black Rose: 15g Hair-Colour Shampoo","black rose: 15g hair-colour shampoo","inactive",1,"2026-04-17 10:01:12"
"Black Rose: 50g Burgundy Hair Colour","black rose: 50g burgundy hair colour","inactive",1,"2026-04-17 10:01:12"
"Black Rose: 50g Dark-Brown Hair Colour","black rose: 50g dark-brown hair colour","inactive",1,"2026-04-17 10:01:12"
"Black Rose: 50g Natural-Brown Hair Colour","black rose: 50g natural-brown hair colour","inactive",1,"2026-04-17 10:01:12"
"Black Rose: Hair Dye Brush","black rose: hair dye brush","inactive",1,"2026-04-17 10:01:12"
