product_name,norm_name,source,deal_count,created_at
"Citizen Promaster Marine Diver Eco-Drive Titanium Dark Green Strap Watch","citizen promaster marine diver eco-drive titanium dark green strap watch","inactive",1,"2026-04-17 10:01:12"
"Classic F1 Sports Car Building Brick","classic f1 sports car building brick","inactive",1,"2026-04-17 10:01:12"
"Classic Pooja Kit | Puja Samagri (Jar) 250g","classic pooja kit | puja samagri (jar) 250g","inactive",1,"2026-04-17 10:01:12"
"Classic Wooden Men's Mechanical Watch","classic wooden men's mechanical watch","inactive",1,"2026-04-17 10:01:12"
"Clay Diya Set of Four - Flower Diya","clay diya set of four - flower diya","inactive",1,"2026-04-17 10:01:12"
"Clay Diya Set of Four - No 3","clay diya set of four - no 3","inactive",1,"2026-04-17 10:01:12"
"Clay Mitti Diya - Pack of 2","clay mitti diya - pack of 2","inactive",1,"2026-04-17 10:01:12"
"Clay Mitti Diya - Pack of 6","clay mitti diya - pack of 6","inactive",1,"2026-04-17 10:01:12"
"Clay or Mitti Kalash Karwa Big","clay or mitti kalash karwa big","inactive",1,"2026-04-17 10:01:12"
"Clay Plain 4-Sided Diya - Pack of 6","clay plain 4-sided diya - pack of 6","inactive",1,"2026-04-17 10:01:12"
"Cock Pad Thai Paste 227gm","cock pad thai paste 227gm","inactive",1,"2026-04-17 10:01:12"
"Cock Palm Sugar 200gm","cock palm sugar 200gm","inactive",1,"2026-04-17 10:01:12"
"Cock Rice Flour 400gm","cock rice flour 400gm","inactive",1,"2026-04-17 10:01:12"
"Cock Rice Noodles (10mm) - XL 375gm","cock rice noodles (10mm) - xl 375gm","inactive",1,"2026-04-17 10:01:12"
"Cock Rice Noodles (3mm) - M 375gm","cock rice noodles (3mm) - m 375gm","inactive",1,"2026-04-17 10:01:12"
"Cock Rice Noodles (5mm) - L 375gm","cock rice noodles (5mm) - l 375gm","inactive",1,"2026-04-17 10:01:12"
"COCK Rice Stick (5mm) - 375g","cock rice stick (5mm) - 375g","inactive",1,"2026-04-17 10:01:12"
"Cock Sweet Chilli Sauce (Chicken) 180ml","cock sweet chilli sauce (chicken) 180ml","inactive",1,"2026-04-17 10:01:12"
"Cock Szechuan Pepper (Fragrant Chilli) 57gm","cock szechuan pepper (fragrant chilli) 57gm","inactive",1,"2026-04-17 10:01:12"
"Cock Tapioca Starch 400gm","cock tapioca starch 400gm","inactive",1,"2026-04-17 10:01:12"
"Cock Tempura Batter Mix 150gm","cock tempura batter mix 150gm","inactive",1,"2026-04-17 10:01:12"
"Cock Tom Kha Kai Paste 227gm","cock tom kha kai paste 227gm","inactive",1,"2026-04-17 10:01:12"
"Cock White Sesame Seeds 227gm","cock white sesame seeds 227gm","inactive",1,"2026-04-17 10:01:12"
"Cock Yellow Curry Paste 50gm","cock yellow curry paste 50gm","inactive",1,"2026-04-17 10:01:12"
"Coconut (without cap)","coconut (without cap)","inactive",1,"2026-04-17 10:01:12"
"Coconut Fresh with hair","coconut fresh with hair","inactive",1,"2026-04-17 10:01:12"
"COCONUT GRATER SCRAPER – 1Pc","coconut grater scraper – 1pc","inactive",1,"2026-04-17 10:01:12"
